label,text,is_eng,len,len_no_spaces,n_words,n_special_chars,n_capital_letters,explicit
1,password will expire in 3 days click here to validate email thank you itservice help desk,True,93,78,16,4,12,0
1,0810[entity]1436 am 0800 enusutf8 openwebmail please validate account sign in below userid email password repassword httpcompression autologin webmail 2015 server help,True,196,168,24,21,37,0
1,password will expire in 3 days click here to validate email password thank you itservice help desk password will expire in 3 days click here to validate email password thank you itservice help desk,True,205,172,34,8,26,0
1,password will expire in 3 days click here to validate email password thank you itservice help desk,True,102,86,17,4,9,0
1,for security reasons we are verifying and confirming our customers emails on our database this is your account email verification code mkgo019 login here [entity],True,167,139,25,3,13,0
1,click here to proceed with your email update click here to proceed with your email update,True,92,76,16,2,4,0
1,area shaperect coords515591516592 alt,True,49,46,4,12,0,0
1,password will expire in 3 days click here[entity],True,51,44,8,4,9,0
1,password will expire in 3 days click here to validate email thank you 2014 microsoft,True,88,73,15,3,8,0
1,itservice help desk please click here to validate email password thank you 2010 microsoft,True,93,79,14,3,14,0
1,your password will expire in 4 days to verify your email click update helpdesk 2015 your password will expire in 4 days to verify your email click update helpdesk 2015,True,173,145,30,4,10,0
1,your password will expire in 4 days to verify your email click password update helpdesk 2015 your password will expire in 4 days to verify your email click password update helpdesk 2015,True,192,161,32,4,12,0
1,password will expire in 3 days click here to validate email thank you 2014 microsoft see our web page at [entity],True,189,167,23,75,15,0
1,password will expire in 3 days click here to validate email thank you 2014 microsoft see our web page at [entity],True,190,167,23,75,15,0
1,password will expire in 2 days click here to validate email thank you copyright [entity] password will expire in 2 days click here to validate email thank you copyright [entity],True,185,156,30,10,28,0
1,your mailbox has exceeded its storage limit to set your email administrator and you will not be able to receive new mail until you revalidate it click on [entity],True,172,138,29,6,8,0
1,view attachment for more info,True,29,25,5,0,25,0
1,password will expire in 2 days click here to validate email thank you copyright [entity] desk password will expire in 2 days click here to validate email thank you copyright [entity] desk,True,195,164,32,10,30,0
1,autoplay whatsapp mensagem de voz descrio fev 01 529 am 35 seconds autoplay whatsapp 0102[entity]0445,True,125,94,16,8,20,0
1,autoplay whatsapp mensagem de voz descrio fev 01 529 am 35 seconds autoplay whatsapp 0102[entity]0926,True,125,94,16,8,20,0
1,you are viewing this plain text version of email because your email client does not support html emails to view this email follow the link below [entity],True,155,129,27,4,12,0
